link,rating,date,user_name,description,likes,sentiment_score
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUROLS1fMXVnRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDN--_1ugE%7CCgwImIvPrQYQgIm3ugI%7C?hl=en,5.0,8 months ago,Nvvprasad Y,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURNMzhUWnV3RRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDM38TZuwE%7CCgwIzKaF8QUQ6LbmsQM%7C?hl=en,5.0,4 years ago,madhan palaniappan,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURNN2VEenZRRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDM7eDzvQE%7CCgwI3ufW8AUQ8JKXsAE%7C?hl=en,5.0,4 years ago,Vishrut Soni,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMwOEp2RnZnRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIC08JvFvgE%7CCgwIgOjo6wUQ8MrJpAI%7C?hl=en,4.0,5 years ago,Arun Chandrasekar,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQweU1tV3dBRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgID0yMmWwAE%7CCgwI3qGx7QUQsKW57AI%7C?hl=en,5.0,4 years ago,Nicholas Cameron,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ0cGFySnRBRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgID4parJtAE%7CCgwI0fyO6AUQwJH5pwM%7C?hl=en,4.0,5 years ago,Pradeep Dhamuria,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN5bk5QRXF3RRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICynNPEqwE%7CCgsIiYKvgAYQgPHFFA%7C?hl=en,5.0,3 years ago,Abiya Immaculate,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNvLXNUQnFnRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICo-sTBqgE%7CCgwIusqK4wUQyOrvjAI%7C?hl=en,4.0,5 years ago,vamsi matha,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURvdTdpeHFnRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDou7ixqgE%7CCgsIzqTU5AUQ0MOoXA%7C?hl=en,5.0,5 years ago,Srini K,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNNcjhTc2lnRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICMr8SsigE%7CCgwI2ce-7wUQ6Ju5yQE%7C?hl=en,5.0,4 years ago,jh ng,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQweklYWWpBRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgID0zIXYjAE%7CCgwIk8jO7QUQsIPdyAI%7C?hl=en,1.0,4 years ago,Thulasiram Kuncham,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNJdGZteGpnRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICItfmxjgE%7CCgwIr5yA4AUQ-u7j9AI%7C?hl=en,5.0,5 years ago,Shiva Penumatsa,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNPcnM2empnRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICOrs6zjgE%7CCgwIreOMlQYQiMyFkwE%7C?hl=en,5.0,2 years ago,subhash chandra,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR3dkxYTmpnRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDwvLXNjgE%7CCgwI-Pb73QUQ6Ib42gM%7C?hl=en,5.0,6 years ago,Vaibhav Vedak,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURJd0ltdmtBRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDIwImvkAE%7CCgsIj7rX4AUQgOOaWw%7C?hl=en,4.0,5 years ago,Santosh Kumar,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURtMThEYmtBRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDm18DbkAE%7CCgwI-ZqKogYQoNa--wE%7C?hl=en,4.0,a year ago,Rama Nayar,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURZMUtyeWtRRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDY1KrykQE%7CCgsIj8Ok5gUQ0NC3Hg%7C?hl=en,4.0,5 years ago,Jiko Maskur,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNRcXJyMGtRRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICQqrr0kQE%7CCgwI95j12wUQwIKfoAI%7C?hl=en,4.0,6 years ago,Narendran Dhinagaren,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN3N3VUZWtnRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICw7uTekgE%7CCgsIuN_d2QUQgJL0AQ%7C?hl=en,3.0,6 years ago,Sudheer Kotni,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNvazdmNmxBRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICok7f6lAE%7CCgwIwOaE5AUQgMjDrAM%7C?hl=en,4.0,5 years ago,Selvaraja M,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNJNGZuZGxnRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICI4fndlgE%7CCgwIrKbP3wUQ8sT_xAI%7C?hl=en,1.0,5 years ago,Fandy Show,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNLMnN2TWx3RRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICK2svMlwE%7CCgwIjNXolAYQ0KfrqgE%7C?hl=en,5.0,2 years ago,dinesh parthasarathy,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURVaGRxandRRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDUhdqjwQE%7CCgwI_fye6wUQyJbDpAI%7C?hl=en,4.0,5 years ago,Pinaki Atha,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURRMklhY21nRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDQ2IacmgE%7CCgwIoYmH2wUQgI7gkAI%7C?hl=en,5.0,6 years ago,Trent Ng,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNicDktR25nRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICbp9-GngE%7CCgwIrK2ktQYQ6IStmAE%7C?hl=en,5.0,2 months ago,Ragavendran R,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURIM3Atbm5nRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDH3p-nngE%7CCgwIlsKgtwYQ-PCuvgE%7C?hl=en,5.0,3 weeks ago,SRR (SRR),,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN3MjhXcG5nRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICw28WpngE%7CCgwIm5CE3QUQqNT7hAM%7C?hl=en,5.0,6 years ago,Rishi Chakra,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNNOGN2R29BRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICM8cvGoAE%7CCgwItIXq7gUQsI-WiAM%7C?hl=en,5.0,4 years ago,kamna gupta,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSdTZDQ29nRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICRu6CCogE%7CCgsIrNrVoQYQ0J6USw%7C?hl=en,4.0,a year ago,Ramkumar s,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM2Nllia29nRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIC66YbkogE%7CCgwIurThiQYQoIORrAM%7C?hl=en,5.0,3 years ago,sudhakar krishnan,,0,0.0
